name,total_population,total_households,average_household_income,average_house_age,total_rooms,total_bedrooms,median_house_value,longitude,latitude,ocean_proximity
Alameda County,1508,758,81437.99,26.9,3117,796,751500,-122.2839,37.8481,NEAR BAY
Alameda County,1088,414,97173.91,29.4,2013,437,665200,-122.2836,37.8453,<1H OCEAN
Alameda County,1405,578,123564.01,42.5,2979,584,773400,-122.2822,37.8429,NEAR BAY
Alameda County,1333,601,83373.54,39.8,2821,637,923800,-122.2801,37.8403,NEAR BAY
Alameda County,1520,493,116069.98,41.8,2687,579,760800,-122.2814,37.8384,NEAR BAY
Alameda County,562,263,87519.01,35.7,1031,294,1051300,-122.271,37.836,NEAR BAY
Alameda County,1611,471,121788.75,39.1,2611,471,818300,-122.2706,37.8336,<1H OCEAN
Alameda County,1037,494,111690.28,43.1,2173,494,791700,-122.2726,37.8323,<1H OCEAN
Alameda County,941,329,134962.01,38.7,2329,392,687500,-122.276,37.83,<1H OCEAN
Alameda County,529,349,99333.81,18.9,910,349,937500,-122.2614,37.8349,NEAR BAY
Alameda County,1372,788,100266.5,41.2,2954,823,1119000,-122.2622,37.8298,<1H OCEAN
Alameda County,883,366,122882.51,35.7,1477,366,1010300,-122.265,37.8257,<1H OCEAN
Alameda County,1485,678,84764.01,28,2381,678,958300,-122.2654,37.8321,<1H OCEAN
Alameda County,1295,527,125887.1,36.9,2678,550,968800,-122.258,37.8335,<1H OCEAN
Alameda County,581,335,127037.31,35.4,1558,389,887300,-122.2577,37.8295,<1H OCEAN
Alameda County,778,376,85704.79,37.9,1393,376,805600,-122.2602,37.8253,<1H OCEAN
Alameda County,1092,427,88916.86,31.2,1223,437,762200,-122.2667,37.8207,NEAR BAY
Alameda County,1276,666,109617.12,28.7,2065,719,875000,-122.2668,37.8155,NEAR BAY
Alameda County,1588,529,71129.49,43.1,2578,529,773100,-122.2729,37.8235,<1H OCEAN
Alameda County,2435,827,84501.21,36.7,4329,948,665200,-122.2746,37.8219,<1H OCEAN
Alameda County,1090,514,54143.97,36.1,1499,522,621300,-117.764,34.095,INLAND
Alameda County,925,315,111007.94,35.7,1744,366,600600,-117.7867,34.097,INLAND
Alameda County,801,252,99424.6,38.9,1543,303,520800,-117.7861,34.1035,INLAND
Alameda County,1340,446,88105.38,30,2368,494,641700,-122.2817,37.8186,NEAR BAY
Alameda County,883,395,67639.24,31,1601,407,635400,-122.2813,37.8157,NEAR BAY
Alameda County,1225,508,115324.8,27.1,2301,595,609900,-122.3025,37.8098,NEAR BAY
Alameda County,723,327,113555.05,28.5,1559,386,586900,-122.2957,37.8158,NEAR BAY
Alameda County,1262,406,134359.61,30.3,1894,406,602200,-122.3018,37.8208,NEAR BAY
Alameda County,909,313,98873.8,38.4,1725,371,635000,-122.2973,37.8114,NEAR BAY
Alameda County,821,302,84685.43,35.8,1379,343,769200,-122.2995,37.8078,NEAR BAY
Alameda County,1240,444,95123.87,37.1,2479,484,795200,-117.7552,34.0859,INLAND
Alameda County,796,263,79192.02,32.5,1366,285,500000,-117.7626,34.0759,INLAND
Alameda County,351,147,125867.35,31,887,189,625000,-117.7719,34.082,INLAND
Alameda County,1102,452,76969.03,31.3,2282,525,718800,-122.282,37.814,NEAR BAY
Alameda County,1299,733,43113.92,36.4,2831,733,601200,-122.2832,37.8104,NEAR BAY
Alameda County,1249,457,60924.51,30.2,2188,487,801100,-122.2843,37.8074,NEAR BAY
Alameda County,1255,598,52257.53,25.3,1841,633,603100,-122.2799,37.8041,NEAR BAY
Alameda County,933,323,64047.99,39.2,1392,391,675000,-122.2761,37.8097,NEAR BAY
Alameda County,994,384,127773.44,28.8,2002,413,798900,-122.2785,37.8109,<1H OCEAN
Alameda County,1688,851,130549.35,10,2604,873,753600,-117.7452,34.0534,INLAND
Alameda County,1166,629,76037.36,23.4,2358,738,524900,-117.7587,34.0372,INLAND
Alameda County,726,457,53878.56,22,1633,521,417300,-117.7636,34.0422,INLAND
Alameda County,948,452,142079.65,12.8,1787,543,629000,-122.2749,37.8044,<1H OCEAN
Alameda County,1129,438,90433.79,23.1,1516,493,614100,-122.2774,37.8004,NEAR BAY
Alameda County,426,223,165437.22,9.7,871,296,805400,-122.2692,37.7953,NEAR BAY
Alameda County,1217,773,94272.32,26.7,2571,820,471400,-122.2658,37.7944,NEAR BAY
Alameda County,746,444,163783.78,11.7,1790,563,650700,-122.2699,37.7941,NEAR BAY
Alameda County,867,699,108108.01,31.4,2518,699,830400,-117.866,34.0138,INLAND
Alameda County,1035,785,53436.31,32.4,2318,827,641800,-117.8747,34.0182,INLAND
Alameda County,1209,709,52281.38,29,2302,709,773900,-122.2608,37.8152,NEAR BAY
Alameda County,1693,921,86055.92,33.9,3393,955,782600,-122.2582,37.8186,NEAR BAY
Alameda County,780,523,98819.31,32.5,2083,599,386400,-122.2592,37.8142,NEAR BAY
Alameda County,1122,633,91852.29,35.2,2629,712,448600,-122.2565,37.8167,NEAR BAY
Alameda County,1303,650,101953.85,30.1,2336,650,632600,-122.2567,37.813,NEAR BAY
Alameda County,3452,1648,82181.43,31.2,5527,1806,666700,-122.2526,37.8142,NEAR BAY
Alameda County,1446,880,87664.77,32.3,2839,880,544500,-122.2597,37.812,NEAR BAY
Alameda County,1330,886,88391.65,37.6,3083,947,402900,-122.2579,37.8105,NEAR BAY
Alameda County,1351,772,124009.07,38.3,3308,928,705900,-117.8586,34.087,INLAND
Alameda County,607,233,167864.81,45.5,1984,255,1303200,-122.236,37.8163,NEAR BAY
Alameda County,794,530,110056.6,38.6,2486,596,838700,-122.2418,37.8137,NEAR BAY
Alameda County,733,367,116519.07,32.6,1403,375,566200,-122.246,37.8117,NEAR BAY
Alameda County,1380,672,123839.29,37.3,2927,698,1205600,-122.2429,37.8176,NEAR BAY
Alameda County,1463,763,88476.41,31.2,2746,798,606300,-122.2488,37.8194,NEAR BAY
Alameda County,1223,628,150071.66,37.1,2805,672,800600,-122.2476,37.8168,NEAR BAY
Alameda County,1436,658,108920.97,30.1,2906,750,577600,-122.2504,37.8167,NEAR BAY
Alameda County,834,490,85244.9,29.2,1808,569,489400,-117.8864,34.1194,INLAND
Alameda County,1240,707,108815.42,33.8,3172,750,762900,-117.8857,34.1163,INLAND
Alameda County,836,424,96167.45,30.5,1617,452,654000,-117.8871,34.1116,INLAND
Alameda County,1155,662,108285.5,37.1,2867,696,1033800,-122.2482,37.8302,<1H OCEAN
Alameda County,1018,533,121815.2,41.4,2501,568,925000,-122.2527,37.8289,NEAR OCEAN
Alameda County,815,453,107522.08,30.6,1704,483,577100,-122.253,37.8317,NEAR BAY
Alameda County,1637,975,96289.74,34.8,3532,975,710400,-122.2501,37.8258,NEAR BAY
Alameda County,1195,439,155449.89,28.1,3297,447,1573500,-122.2266,37.839,NEAR BAY
Alameda County,1417,464,171314.66,32.9,3585,488,1249100,-122.2296,37.8385,NEAR BAY
Alameda County,1214,444,135743.24,35.3,2673,465,995900,-122.234,37.8343,<1H OCEAN
Alameda County,1224,449,148936.53,24.8,4075,553,1834300,-122.2362,37.847,<1H OCEAN
Alameda County,1024,385,170525.97,31.9,2951,385,1834600,-122.2397,37.8444,<1H OCEAN
Alameda County,1298,528,160634.47,35.7,3605,528,1262300,-122.2395,37.8415,<1H OCEAN
Alameda County,1887,743,148220.05,19.7,5554,743,1209100,-122.2165,37.85,<1H OCEAN
Alameda County,1284,551,117608.89,37.7,3744,551,950400,-122.2162,37.8376,NEAR BAY
Alameda County,2011,676,149023.67,31.2,4684,676,968000,-122.2071,37.844,<1H OCEAN
Alameda County,573,325,114823.08,15.5,1272,362,488200,-122.2199,37.8565,<1H OCEAN
Alameda County,1790,653,164980.86,34.8,4898,687,1249300,-117.9247,34.1105,INLAND
Alameda County,936,332,174578.31,33.4,2215,332,1102000,-122.2043,37.8399,NEAR BAY
Alameda County,1815,701,155538.52,34.2,4678,701,1079800,-122.2064,37.8354,NEAR BAY
Alameda County,1558,681,157492.66,27.2,4336,681,1027200,-122.1948,37.8369,NEAR BAY
Alameda County,1584,710,156436.62,33.9,4387,728,1089800,-122.2053,37.831,NEAR OCEAN
Alameda County,1112,427,154467.21,28.4,3036,427,990500,-117.9641,34.1098,INLAND
Alameda County,680,243,157294.24,29.3,1809,243,1065500,-122.1904,37.8295,<1H OCEAN
Alameda County,1471,475,169668.42,30.9,3748,486,1091700,-122.194,37.8231,<1H OCEAN
Alameda County,1673,655,156729.01,31.6,4686,655,1059900,-122.1934,37.8189,NEAR BAY
Alameda County,992,409,154028.12,39.8,3093,450,1059200,-122.2104,37.8146,NEAR BAY
Alameda County,1107,404,169925.74,38,2863,413,1125900,-122.206,37.8117,NEAR OCEAN
Alameda County,1170,451,109695.12,36.5,2644,528,738300,-122.2119,37.8041,NEAR BAY
Alameda County,1480,632,133306.96,39,3555,655,954200,-122.2144,37.8059,<1H OCEAN
Alameda County,827,310,145177.42,40.3,1822,334,975400,-122.217,37.8085,<1H OCEAN
Alameda County,1004,509,84582.51,41.4,2575,553,884800,-122.2191,37.8019,<1H OCEAN
Alameda County,1158,532,131936.09,32.6,2612,554,952200,-122.2266,37.8018,<1H OCEAN
Alameda County,1264,499,155566.13,42.5,3292,528,902700,-122.225,37.8046,<1H OCEAN
Alameda County,842,323,147732.2,43.7,2597,377,960800,-122.2197,37.8102,NEAR BAY
Alameda County,1271,550,138718.18,43,3431,550,1132200,-122.2225,37.8101,NEAR BAY
Alameda County,1331,668,116062.87,40.9,3645,753,956400,-122.2354,37.807,<1H OCEAN
Alameda County,884,410,160170.73,42.3,3494,410,1555900,-122.2259,37.8117,NEAR BAY
Alameda County,825,269,161050.19,44.4,2160,269,1455000,-122.2319,37.8096,NEAR BAY
Alameda County,1024,322,165279.5,44.8,2504,322,1538300,-122.2384,37.8105,NEAR BAY
Alameda County,687,309,173567.96,43.9,2030,309,1540100,-122.2379,37.8132,NEAR BAY
Alameda County,865,360,152736.11,40.5,2820,386,1516000,-122.2308,37.814,NEAR BAY
Alameda County,1768,587,108752.13,41,2787,624,844600,-122.2404,37.8041,NEAR BAY
Alameda County,1067,461,71350.33,41.5,1993,461,780400,-122.2466,37.8029,NEAR BAY
Alameda County,1200,482,117334.02,39.5,2779,515,1163900,-122.2446,37.8063,NEAR BAY
Alameda County,1124,685,108135.04,35.9,2573,719,741100,-122.2465,37.8075,<1H OCEAN
Alameda County,924,503,113474.16,37.1,2174,523,964300,-117.9425,34.0892,INLAND
Alameda County,786,415,86343.37,31.6,1834,441,770200,-122.2505,37.8014,<1H OCEAN
Alameda County,1094,747,70920.35,31.2,3026,891,607100,-117.9524,34.0733,INLAND
Alameda County,1193,567,85348.32,35.8,1802,639,475000,-117.9439,34.0795,INLAND
Alameda County,1588,713,72612.2,37.2,3124,774,627100,-122.2487,37.7986,NEAR BAY
Alameda County,990,403,82748.14,34.8,1330,430,331300,-122.2496,37.7967,NEAR BAY
Alameda County,1092,496,56522.18,34.6,1867,523,625000,-122.2514,37.7951,NEAR BAY
Alameda County,2380,750,55420,32.1,2920,777,587500,-122.2476,37.7928,NEAR BAY
Alameda County,1099,281,86218.86,37.5,1521,281,704500,-117.9302,34.0852,INLAND
Alameda County,856,431,77558,37.1,1910,510,630200,-117.9279,34.0815,INLAND
Alameda County,603,257,65671.21,40.1,1326,285,550000,-117.932,34.0784,INLAND
Alameda County,1116,530,104839.62,39,2108,551,873400,-117.9321,34.0739,INLAND
Alameda County,857,288,69670.14,42.4,1362,288,606500,-117.9209,34.0834,INLAND
Alameda County,1053,374,110481.28,42.4,1911,447,691700,-117.9178,34.0778,INLAND
Alameda County,1261,726,75840.22,37.2,3168,783,658300,-117.9183,34.0736,INLAND
Alameda County,1420,507,82164.69,36.9,2465,525,519900,-122.2301,37.8002,NEAR BAY
Alameda County,1133,546,86703.3,35.7,2083,598,469200,-122.2278,37.7961,NEAR BAY
Alameda County,755,417,67727.82,34.4,1278,441,817900,-122.2324,37.7978,NEAR BAY
Alameda County,712,255,69872.55,31.6,1209,255,355200,-117.9043,34.1031,INLAND
Alameda County,1502,453,66385.21,39,2178,494,473600,-117.9127,34.1035,INLAND
Alameda County,924,361,73220.22,37.4,1572,410,664600,-117.9206,34.1043,INLAND
Alameda County,793,218,61766.06,38.2,1102,236,697600,-122.2371,37.7965,NEAR BAY
Alameda County,1897,478,67280.33,33.5,1801,488,571100,-122.2367,37.7859,NEAR OCEAN
Alameda County,1049,276,61702.9,34.4,1582,337,390800,-122.2337,37.7899,<1H OCEAN
Alameda County,1284,320,66453.12,31.2,1583,341,500000,-122.2365,37.7878,NEAR BAY
Alameda County,1559,465,71424.73,34.9,2152,505,595000,-122.2397,37.7931,NEAR BAY
Alameda County,1570,485,78180.41,36.2,2470,542,608700,-122.2424,37.7901,<1H OCEAN
Alameda County,945,331,67046.83,36,1364,357,585500,-117.9037,34.0965,INLAND
Alameda County,1453,432,77881.94,32.3,1726,458,662800,-117.9021,34.0847,INLAND
Alameda County,1151,408,50735.29,21.5,1622,476,539500,-122.2247,37.7755,NEAR BAY
Alameda County,562,155,114758.06,42.9,946,178,372700,-122.2262,37.7695,NEAR BAY
Alameda County,1060,537,104678.77,23,2856,621,641300,-122.2337,37.7727,NEAR BAY
Alameda County,1948,415,71222.89,25.5,2126,455,609800,-122.2351,37.78,NEAR BAY
Alameda County,1405,438,67340.18,34,2498,457,552600,-117.9061,34.0838,INLAND
Alameda County,681,187,63810.16,35.4,688,187,579300,-117.9037,34.0764,INLAND
Alameda County,2093,580,57379.31,30,2234,636,573900,-122.2313,37.7847,<1H OCEAN
Alameda County,775,238,48823.53,38.6,994,258,1638900,-122.2332,37.7833,NEAR BAY
Alameda County,1818,435,73545.98,33.7,2320,520,646300,-122.2254,37.7831,NEAR BAY
Alameda County,1290,402,64788.56,33.7,1735,402,707100,-117.8715,34.0605,INLAND
Alameda County,1289,317,57216.09,31.8,1741,335,486600,-117.8859,34.0683,INLAND
Alameda County,880,245,62255.1,38.9,1466,269,532000,-117.878,34.0552,INLAND
Alameda County,944,306,81290.85,35,1591,330,461400,-122.228,37.7903,<1H OCEAN
Alameda County,424,152,100032.89,37.4,920,167,596200,-122.2196,37.7938,NEAR BAY
Alameda County,2124,599,80613.52,37.7,2710,616,614200,-122.2232,37.7952,NEAR BAY
Alameda County,2267,661,89164.15,38.9,3129,691,549200,-117.9123,34.0703,INLAND
Alameda County,835,181,68604.97,36.6,1369,256,348600,-117.9118,34.0653,INLAND
Alameda County,2011,555,50382.88,36,2574,574,512500,-117.9259,34.0624,INLAND
Alameda County,1287,467,65433.62,37.5,1975,467,691500,-117.9196,34.0691,INLAND
Alameda County,965,337,79384.27,34.7,1540,384,460500,-117.9132,34.0582,INLAND
Alameda County,1787,576,71145.83,31,2782,602,595700,-117.917,34.0517,INLAND
Alameda County,1269,512,89218.75,32.7,2257,512,601100,-117.922,34.0583,INLAND
Alameda County,705,316,45759.49,36.5,1474,339,384800,-122.2051,37.7941,<1H OCEAN
Alameda County,1074,431,95910.67,39.5,2025,460,561900,-117.9317,34.0582,INLAND
Alameda County,1343,502,63107.57,35.9,2325,534,548600,-117.9387,34.0528,INLAND
Alameda County,1289,480,126010.42,39.9,3520,530,912600,-122.198,37.8043,<1H OCEAN
Alameda County,465,198,139873.74,38.2,1169,198,839600,-122.201,37.7996,NEAR BAY
Alameda County,1858,724,92562.15,34.7,3932,820,789200,-122.207,37.7999,NEAR BAY
Alameda County,969,345,147891.3,41.2,2116,362,923000,-122.2043,37.8026,NEAR BAY
Alameda County,438,243,123940.33,39.9,1581,298,673400,-122.2078,37.8045,<1H OCEAN
Alameda County,479,203,138115.76,38.3,1315,203,851000,-122.1921,37.8033,NEAR BAY
Alameda County,1148,361,116613.57,36.1,2585,387,934700,-122.1938,37.7979,NEAR BAY
Alameda County,1248,438,120570.78,37,2566,555,742100,-122.1959,37.7943,<1H OCEAN
Alameda County,793,303,102153.47,36.3,1767,329,795300,-122.1997,37.7972,NEAR BAY
Alameda County,574,207,146364.73,40.3,1482,207,811600,-122.1892,37.7976,NEAR BAY
Alameda County,1110,466,123969.96,38.5,3039,522,883800,-122.189,37.7935,<1H OCEAN
Alameda County,2211,834,94958.03,30.3,3830,834,541200,-122.1952,37.7905,<1H OCEAN
Alameda County,1192,510,74392.16,40.6,1966,574,557700,-122.1997,37.7902,<1H OCEAN
Alameda County,1932,637,87154.63,38.4,2992,637,621400,-122.2003,37.7868,NEAR BAY
Alameda County,943,340,79941.18,39.9,1658,354,646800,-122.2042,37.7853,<1H OCEAN
Alameda County,1197,291,71675.26,34.1,1680,329,585500,-122.2077,37.7877,NEAR BAY
Alameda County,516,144,78923.61,33.2,816,210,446400,-122.2032,37.7899,<1H OCEAN
Alameda County,3037,753,57725.76,32.2,3240,765,437100,-117.9768,34.0506,INLAND
Alameda County,832,288,72083.33,36.6,1257,305,478900,-117.9722,34.0489,INLAND
Alameda County,1276,474,71012.66,36.8,2618,547,596600,-117.9819,34.047,INLAND
Alameda County,1142,274,89087.59,40.9,1800,281,597000,-117.9755,34.0441,INLAND
Alameda County,1099,259,77808.88,38.5,1189,259,460700,-117.9725,34.041,INLAND
Alameda County,1086,291,91658.08,39,1823,291,496900,-122.2109,37.7772,NEAR BAY
Alameda County,1608,376,75824.47,39.7,1633,376,454400,-122.2155,37.7756,NEAR BAY
Alameda County,1676,429,60576.92,38.2,2285,486,551700,-122.218,37.7773,NEAR BAY
Alameda County,1466,451,72588.69,39.3,1961,515,303600,-122.2206,37.7811,<1H OCEAN
Alameda County,2151,566,55026.5,35.8,2145,594,390300,-122.2223,37.7787,NEAR BAY
Alameda County,1375,356,78005.62,38.1,1705,382,360200,-122.2061,37.7633,NEAR BAY
Alameda County,1086,311,78046.62,40.1,1487,360,415200,-122.2145,37.7623,NEAR BAY
Alameda County,2171,536,77350.75,40.5,3009,577,486700,-117.958,34.0521,INLAND
Alameda County,1058,279,57213.26,40.9,1592,310,802100,-122.2075,37.7718,NEAR BAY
Alameda County,2205,619,53243.13,35.9,2895,641,484500,-122.1989,37.7686,NEAR BAY
Alameda County,1247,442,50791.86,34.8,1948,451,427000,-122.1982,37.7711,<1H OCEAN
Alameda County,1057,355,100640.85,39.2,2031,408,692300,-122.2002,37.7825,<1H OCEAN
Alameda County,1063,437,79445.08,36.2,2333,497,572400,-122.2036,37.779,NEAR BAY
Alameda County,1363,402,97375.62,40,2253,402,547600,-122.2016,37.7755,NEAR BAY
Alameda County,1239,377,120550.4,35.2,1950,405,493000,-122.2056,37.7746,NEAR BAY
Alameda County,1225,338,71153.85,34.9,2168,370,261800,-122.2087,37.7767,NEAR BAY
Alameda County,1143,480,81760.42,41.7,3017,526,528300,-122.19,37.7748,NEAR BAY
Alameda County,876,314,94203.82,43.1,2020,333,666700,-122.196,37.7762,NEAR BAY
Alameda County,1131,459,139221.13,45.1,2846,501,637700,-122.1963,37.7794,NEAR BAY
Alameda County,1105,387,112564.6,43.4,2400,401,695400,-122.1921,37.7789,NEAR BAY
Alameda County,963,324,96435.19,37.3,1633,337,573500,-122.1956,37.7842,<1H OCEAN
Alameda County,1771,385,93629.87,41.1,2240,408,678900,-122.1859,37.7819,NEAR BAY
Alameda County,754,311,126615.76,32.7,2085,371,908800,-122.1818,37.7901,<1H OCEAN
Alameda County,988,392,114477.04,39.8,1921,411,832700,-122.1848,37.7868,NEAR BAY
Alameda County,1058,483,137634.58,39.2,3032,530,699600,-122.1903,37.7876,NEAR BAY
Alameda County,839,312,161634.62,29.5,2121,312,1129100,-122.1861,37.8069,<1H OCEAN
Alameda County,1988,722,147950.14,27.1,4405,722,962100,-122.1851,37.8042,NEAR BAY
Alameda County,1223,529,132367.67,32.8,4078,529,1212800,-122.1573,37.7929,<1H OCEAN
Alameda County,1206,591,93049.92,22.7,3063,685,474800,-122.1547,37.7752,NEAR BAY
Alameda County,790,329,152272.04,24.5,2631,375,1044900,-122.1375,37.776,NEAR BAY
Alameda County,624,319,117076.8,25.4,2213,319,859800,-122.1509,37.7803,NEAR BAY
Alameda County,2952,955,160835.08,21.8,6207,955,882500,-122.1721,37.7878,NEAR BAY
Alameda County,1729,748,109137.7,35.8,4172,784,666200,-122.1762,37.7771,NEAR BAY
Alameda County,1841,703,77812.94,37.3,3721,722,612600,-122.1733,37.7736,NEAR OCEAN
Alameda County,1018,429,90938.23,37.1,2076,449,599400,-122.1798,37.7754,NEAR BAY
Alameda County,1309,528,88873.11,33,2840,528,625000,-122.1699,37.7772,NEAR BAY
Alameda County,1223,439,130711.85,38.1,2617,439,648700,-122.1621,37.7726,NEAR BAY
Alameda County,983,387,121350.13,38,2562,434,688800,-122.1646,37.7706,<1H OCEAN
Alameda County,777,262,89122.14,34.4,1364,286,639100,-122.1643,37.7658,NEAR BAY
Alameda County,662,182,84560.44,34.9,1079,182,609800,-122.1692,37.7692,NEAR BAY
Alameda County,872,300,73066.67,31.7,1511,312,478600,-122.1714,37.7645,NEAR BAY
Alameda County,1124,404,65445.54,40.9,1966,426,439000,-122.1698,37.7623,NEAR BAY
Alameda County,878,257,81760.7,33.2,1502,299,361900,-122.1781,37.7633,NEAR BAY
Alameda County,1411,409,45764.06,40.4,2160,409,348700,-122.1749,37.7607,<1H OCEAN
Alameda County,910,297,55765.99,36.9,1366,314,473100,-122.1795,37.7574,NEAR BAY
Alameda County,951,292,64041.1,39.4,1398,333,335700,-122.1811,37.7589,NEAR BAY
Alameda County,1646,348,93290.23,37.1,1963,390,510900,-122.1838,37.7602,<1H OCEAN
Alameda County,2270,741,61136.98,29.1,3464,779,395500,-122.179,37.7685,NEAR BAY
Alameda County,2451,486,90905.35,38.5,2781,575,494700,-122.1857,37.766,NEAR BAY
Alameda County,1215,294,61020.41,33.1,1573,319,360000,-122.1851,37.7632,NEAR BAY
Alameda County,1223,297,71456.23,42.7,1496,320,417400,-122.1887,37.7613,NEAR BAY
Alameda County,844,404,83032.18,35.4,1842,426,719400,-122.1839,37.7738,NEAR OCEAN
Alameda County,1429,652,51909.51,38.4,3209,709,768700,-122.1848,37.7694,NEAR BAY
Alameda County,2719,774,61860.47,44.8,4002,801,385200,-122.1919,37.7642,NEAR BAY
Alameda County,742,206,64247.57,22.9,964,206,521600,-122.1959,37.7658,NEAR BAY
Alameda County,696,239,65366.11,36,1526,316,423400,-122.1933,37.7678,NEAR BAY
Alameda County,1106,414,58079.71,39.1,2553,491,396900,-122.1887,37.7702,<1H OCEAN
Alameda County,1030,277,61471.12,33.8,1153,277,321600,-117.7505,34.0625,INLAND
Alameda County,1956,625,38068,22.8,2698,655,466000,-117.7515,34.0555,INLAND
Alameda County,2645,704,55887.78,30,3365,724,362500,-122.1998,37.7611,NEAR BAY
Alameda County,1549,480,49270.83,27.1,2052,535,363600,-117.776,34.1097,INLAND
Alameda County,2111,537,61457.17,33.8,2558,574,446500,-117.7828,34.1121,INLAND
Alameda County,2835,622,86543.41,28.5,3002,622,462000,-117.7782,34.0579,INLAND
Alameda County,1921,438,58984.02,34,2092,438,328600,-117.7814,34.0494,INLAND
Alameda County,1360,390,81717.95,36.3,2085,426,406300,-117.9607,34.0086,INLAND
Alameda County,1117,280,61142.86,36.6,1401,280,398800,-117.9527,34.0055,INLAND
Alameda County,1927,590,69228.81,33.6,3058,597,441200,-122.1753,37.7295,NEAR BAY
Alameda County,1599,412,58155.34,30.7,1926,419,506100,-122.1807,37.7299,NEAR BAY
Alameda County,1999,561,54309.27,34.3,2673,581,466700,-122.1716,37.742,NEAR BAY
Alameda County,1272,450,56977.78,40.6,2531,477,374500,-122.1701,37.7369,NEAR OCEAN
Alameda County,1202,386,56683.94,33,1886,386,388000,-122.1763,37.7377,NEAR OCEAN
Alameda County,680,225,59900,33.3,1415,246,336400,-122.1737,37.7337,<1H OCEAN
Alameda County,980,173,88858.38,33.5,823,208,433300,-122.1738,37.7451,<1H OCEAN
Alameda County,2242,647,59717.93,29.7,3080,666,448600,-122.1804,37.7451,<1H OCEAN
Alameda County,1919,409,52805.62,35.3,1747,409,386100,-122.177,37.7476,NEAR BAY
Alameda County,1409,423,43670.21,24.7,2018,442,355700,-122.1867,37.7497,NEAR BAY
Alameda County,1375,328,72286.59,33.2,1696,376,367300,-122.1804,37.7536,<1H OCEAN
Alameda County,1093,296,56114.86,34.4,1540,318,404300,-122.1784,37.7506,NEAR BAY
Alameda County,897,299,56463.21,34.6,1554,348,391300,-122.1734,37.7569,NEAR BAY
Alameda County,756,305,79500,35.5,1572,331,430400,-122.1707,37.7538,<1H OCEAN
Alameda County,840,260,58519.23,33.8,1500,292,562500,-122.1697,37.7504,NEAR BAY
Alameda County,1434,428,63119.16,36.4,2303,452,375000,-122.1767,37.7546,NEAR BAY
Alameda County,1147,390,47217.95,30.3,1920,432,363300,-122.1656,37.7594,NEAR BAY
Alameda County,1846,522,56915.71,27,2525,570,378400,-122.1656,37.7523,<1H OCEAN
Alameda County,1266,322,44798.14,32.4,1667,342,418500,-122.1659,37.7556,<1H OCEAN
Alameda County,967,276,65742.75,35.2,1658,341,338500,-122.1696,37.7584,NEAR BAY
Alameda County,710,291,111091.07,36.7,1608,291,643800,-122.1567,37.7648,NEAR BAY
Alameda County,1684,633,80667.46,34.9,3415,752,560300,-122.1589,37.7576,NEAR BAY
Alameda County,1009,243,138611.11,35.2,1684,250,693900,-122.1528,37.7583,NEAR BAY
Alameda County,433,161,109456.52,30.6,1099,173,734000,-122.1449,37.7683,NEAR BAY
Alameda County,967,332,157921.69,26,2166,332,902500,-122.1463,37.7582,NEAR BAY
Alameda County,1190,504,137728.17,29.3,3589,534,865800,-122.132,37.7617,NEAR BAY
Alameda County,1105,404,127772.28,31.7,2889,404,828000,-122.1218,37.7519,NEAR BAY
Alameda County,983,411,123059.61,36.9,2462,411,786900,-122.1309,37.7361,<1H OCEAN
