Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Catron,Catron,Single County,35003,Rural,,,,,,
,New Mexico,Grant,Grant,Single County,35017,Rural,,,,,,
,New Mexico,Hidalgo,Hidalgo,Single County,35023,Rural,,,,,,
,New Mexico,Luna,Luna,Single County,35029,Rural,,,,,,
Mental Health,7352736745,Southeastern Catchment Area,High Needs Geographic HPSA,New Mexico,"Chaves County, NM | Eddy County, NM | Lea County, NM | Lincoln County, NM | Otero County, NM",6.51,13,NA,Designated,Rural,12/30/1986,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Chaves,Chaves,Single County,35005,Rural,,,,,,
,New Mexico,Eddy,Eddy,Single County,35015,Rural,,,,,,
,New Mexico,Lea,Lea,Single County,35025,Rural,,,,,,
,New Mexico,Lincoln,Lincoln,Single County,35027,Rural,,,,,,
,New Mexico,Otero,Otero,Single County,35035,Rural,,,,,,
Primary Care,1351168065,CATRON COUNTY,High Needs Geographic HPSA,New Mexico,"Catron County, NM",1.22,17,15,Designated,Rural,04/25/1986,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Catron,Catron,Single County,35003,Rural,,,,,,
Mental Health,7353490939,South Central Catchment Area,High Needs Geographic HPSA,New Mexico,"Sierra County, NM | Socorro County, NM",0.79,13,NA,Designated,Rural,05/13/1992,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Sierra,Sierra,Single County,35051,Rural,,,,,,
,New Mexico,Socorro,Socorro,Single County,35053,Rural,,,,,,
Mental Health,7357374850,Guadalupe County,High Needs Geographic HPSA,New Mexico,"Guadalupe County, NM",0.26,16,NA,Designated,Rural,05/24/2023,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Guadalupe,Guadalupe,Single County,35019,Rural,,,,,,
Mental Health,7357820146,Union County,High Needs Geographic HPSA,New Mexico,"Union County, NM",0.24,13,NA,Designated,Rural,05/24/2023,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Union,Union,Single County,35059,Rural,,,,,,
Primary Care,1352807203,LI - Grant County,Low Income Population HPSA,New Mexico,"Grant County, NM",3.81,18,15,Designated,Rural,08/21/2012,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Grant,Grant,Single County,35017,Rural,,,,,,
Primary Care,1353718497,LI - Otero County,Low Income Population HPSA,New Mexico,"Otero County, NM",9.43,18,18,Designated,Rural,12/14/2004,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Otero,Otero,Single County,35035,Rural,,,,,,
Primary Care,1352114301,LI - San Miguel County,Low Income Population HPSA,New Mexico,"San Miguel County, NM",3.12,21,18,Designated,Rural,12/17/2013,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,San Miguel,San Miguel,Single County,35047,Rural,,,,,,
Primary Care,1358361998,Mora County,Geographic HPSA,New Mexico,"Mora County, NM",1.19,18,12,Designated,Rural,10/27/1978,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Mora,Mora,Single County,35033,Rural,,,,,,
Primary Care,1351216214,LI - Luna County,Low Income Population HPSA,New Mexico,"Luna County, NM",4.62,18,20,Designated,Rural,04/16/2013,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Luna,Luna,Single County,35029,Rural,,,,,,
Primary Care,1354983971,LI - Taos County,Low Income Population HPSA,New Mexico,"Taos County, NM",3.92,19,16,Designated,Rural,11/12/2010,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Taos,Taos,Single County,35055,Rural,,,,,,
Dental Health,6353487971,Catron County,Geographic HPSA,New Mexico,"Catron County, NM",0.73,19,NA,Designated,Rural,10/27/1978,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Catron,Catron,Single County,35003,Rural,,,,,,
Mental Health,7359141496,Cibola County,High Needs Geographic HPSA,New Mexico,"Cibola County, NM",1.70,20,NA,Designated,Rural,10/22/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Cibola,Cibola,Single County,35006,Rural,,,,,,
Mental Health,7351597470,Colfax County,High Needs Geographic HPSA,New Mexico,"Colfax County, NM",0.78,16,NA,Designated,Rural,10/22/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Colfax,Colfax,Single County,35007,Rural,,,,,,
Mental Health,7354927268,Taos County,High Needs Geographic HPSA,New Mexico,"Taos County, NM",0.89,10,NA,Designated,Rural,10/22/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Taos,Taos,Single County,35055,Rural,,,,,,
Primary Care,1357445811,Harding County,Geographic HPSA,New Mexico,"Harding County, NM",0.21,8,10,Designated,Rural,11/02/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Harding,Harding,Single County,35021,Rural,,,,,,
Dental Health,6353107663,LI - San Juan County,Low Income Population HPSA,New Mexico,"San Juan County, NM",14.00,19,NA,Designated,Partially Rural,11/20/2013,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,San Juan,San Juan,Single County,35045,Partially Rural,,,,,,
Dental Health,6351101642,LI - Colfax County,Low Income Population HPSA,New Mexico,"Colfax County, NM",1.22,17,NA,Designated,Rural,01/11/2013,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Colfax,Colfax,Single County,35007,Rural,,,,,,
Primary Care,1352402334,LI - Curry County,Low Income Population HPSA,New Mexico,"Curry County, NM",6.00,18,19,Designated,Rural,11/02/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Curry,Curry,Single County,35009,Rural,,,,,,
Dental Health,6351979566,LI - Curry County,Low Income Population HPSA,New Mexico,"Curry County, NM",4.82,19,NA,Designated,Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Curry,Curry,Single County,35009,Rural,,,,,,
Primary Care,1357059311,Lea County,Geographic HPSA,New Mexico,"Lea County, NM",2.64,13,15,Designated,Rural,11/02/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Lea,Lea,Single County,35025,Rural,,,,,,
Primary Care,1355072376,Quay County,High Needs Geographic HPSA,New Mexico,"Quay County, NM",0.80,14,19,Designated,Rural,11/02/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Quay,Quay,Single County,35037,Rural,,,,,,
Dental Health,6358518349,LI - Lincoln County,Low Income Population HPSA,New Mexico,"Lincoln County, NM",2.05,17,NA,Designated,Rural,03/24/2008,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Lincoln,Lincoln,Single County,35027,Rural,,,,,,
Dental Health,6359873604,LI - Grant County,Low Income Population HPSA,New Mexico,"Grant County, NM",2.86,17,NA,Designated,Rural,09/23/1997,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Grant,Grant,Single County,35017,Rural,,,,,,
Dental Health,6357665934,LI - San Miguel County,Low Income Population HPSA,New Mexico,"San Miguel County, NM",2.86,19,NA,Designated,Rural,02/09/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,San Miguel,San Miguel,Single County,35047,Rural,,,,,,
Dental Health,6351920798,Torrance County,High Needs Geographic HPSA,New Mexico,"Torrance County, NM",3.19,19,NA,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Torrance,Torrance,Single County,35057,Rural,,,,,,
Dental Health,6357068777,LI - Hildago County,Low Income Population HPSA,New Mexico,"Hidalgo County, NM",0.46,13,NA,Designated,Rural,02/23/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Hidalgo,Hidalgo,Single County,35023,Rural,,,,,,
Dental Health,6359917236,LI - Chaves County,Low Income Population HPSA,New Mexico,"Chaves County, NM",6.95,19,NA,Designated,Rural,02/23/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Chaves,Chaves,Single County,35005,Rural,,,,,,
Dental Health,6351269565,LI - Roosevelt County,Low Income Population HPSA,New Mexico,"Roosevelt County, NM",1.386,19,NA,Designated,Rural,02/23/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Roosevelt,Roosevelt,Single County,35041,Rural,,,,,,
Dental Health,6358432305,LI - Taos County,Low Income Population HPSA,New Mexico,"Taos County, NM",3.03,15,NA,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Taos,Taos,Single County,35055,Rural,,,,,,
Dental Health,6352625791,Sierra County,High Needs Geographic HPSA,New Mexico,"Sierra County, NM",0.30,11,NA,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Sierra,Sierra,Single County,35051,Rural,,,,,,
Mental Health,7358116231,Mora County,High Needs Geographic HPSA,New Mexico,"Mora County, NM",0.28,11,NA,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Mora,Mora,Single County,35033,Rural,,,,,,
Mental Health,7358336976,LI - San Miguel County,Low Income Population HPSA,New Mexico,"San Miguel County, NM",0.76,17,NA,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,San Miguel,San Miguel,Single County,35047,Rural,,,,,,
Mental Health,7352532517,Torrance County,Geographic HPSA,New Mexico,"Torrance County, NM",0.76,17,NA,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Torrance,Torrance,Single County,35057,Rural,,,,,,
Primary Care,1356343421,Sierra County,High Needs Geographic HPSA,New Mexico,"Sierra County, NM",0.01,10,20,Designated,Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Sierra,Sierra,Single County,35051,Rural,,,,,,
Primary Care,1353585598,Torrance County,High Needs Geographic HPSA,New Mexico,"Torrance County, NM",1.85,18,21,Designated,Rural,03/03/2022,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Torrance,Torrance,Single County,35057,Rural,,,,,,
Mental Health,7351531494,DeBaca County,High Needs Geographic HPSA,New Mexico,"De Baca County, NM",0.10,13,NA,Designated,Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,De Baca,De Baca,Single County,35011,Rural,,,,,,
Mental Health,7357411134,Roosevelt County,High Needs Geographic HPSA,New Mexico,"Roosevelt County, NM",1.19,19,NA,Designated,Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Roosevelt,Roosevelt,Single County,35041,Rural,,,,,,
Primary Care,1351437541,Low Income - Eddy County,Low Income Population HPSA,New Mexico,"Eddy County, NM",6.17,16,15,Designated,Rural,07/08/2013,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Eddy,Eddy,Single County,35015,Rural,,,,,,
Dental Health,6355865239,Low Income - Eddy County,Low Income Population HPSA,New Mexico,"Eddy County, NM",4.63,15,NA,Designated,Rural,10/31/1991,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Eddy,Eddy,Single County,35015,Rural,,,,,,
Primary Care,1358566658,Hidalgo County,High Needs Geographic HPSA,New Mexico,"Hidalgo County, NM",0.34,14,19,Designated,Rural,10/27/1978,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Hidalgo,Hidalgo,Single County,35023,Rural,,,,,,
Mental Health,7352716392,Catchment Area 1,High Needs Geographic HPSA,New Mexico,"McKinley County, NM | San Juan County, NM",9.68,20,NA,Designated,Partially Rural,05/13/1992,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,McKinley,McKinley,Single County,35031,Rural,,,,,,
,New Mexico,San Juan,San Juan,Single County,35045,Partially Rural,,,,,,
Primary Care,1359993581,LA FAMILIA MEDICAL CENTER,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,23,18,Designated,Non-Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Espanola Pathways Shelter,"628 N Riverside Dr, Suite A",Espanola,NM,87532-2620,Santa Fe,Non-Rural,,,,,
,La Famila Medical Center Dental Clinic,6401 S Richards Ave,Santa Fe,NM,87508-4887,Santa Fe,Non-Rural,,,,,
,LA FAMILIA - SOUTHSIDE CLINIC,2145 Caja del Oro Grant Rd,Santa Fe,NM,87507-3279,Santa Fe,Non-Rural,,,,,
,LA FAMILIA MEDICAL CENTER,1035 Alto St,Santa Fe,NM,87501-2406,Santa Fe,Non-Rural,,,,,
,Life Link Homeless Resource,2325 Cerrillos Rd,Santa Fe,NM,87505-3263,Santa Fe,Non-Rural,,,,,
,Pete's Place Homeless Resource,2801 Cerrillos Rd,Santa Fe,NM,87507-2311,Santa Fe,Non-Rural,,,,,
,Santa Fe Suites Outreach Service Site,3007 S Saint Francis Dr,Santa Fe,NM,87505-7069,Santa Fe,Non-Rural,,,,,
Mental Health,7359993536,LA FAMILIA MEDICAL CENTER,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,21,NA,Designated,Non-Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Espanola Pathways Shelter,"628 N Riverside Dr, Suite A",Espanola,NM,87532-2620,Santa Fe,Non-Rural,,,,,
,La Famila Medical Center Dental Clinic,6401 S Richards Ave,Santa Fe,NM,87508-4887,Santa Fe,Non-Rural,,,,,
,LA FAMILIA - SOUTHSIDE CLINIC,2145 Caja del Oro Grant Rd,Santa Fe,NM,87507-3279,Santa Fe,Non-Rural,,,,,
,LA FAMILIA MEDICAL CENTER,1035 Alto St,Santa Fe,NM,87501-2406,Santa Fe,Non-Rural,,,,,
,Life Link Homeless Resource,2325 Cerrillos Rd,Santa Fe,NM,87505-3263,Santa Fe,Non-Rural,,,,,
,Pete's Place Homeless Resource,2801 Cerrillos Rd,Santa Fe,NM,87507-2311,Santa Fe,Non-Rural,,,,,
,Santa Fe Suites Outreach Service Site,3007 S Saint Francis Dr,Santa Fe,NM,87505-7069,Santa Fe,Non-Rural,,,,,
Dental Health,6359993545,LA FAMILIA MEDICAL CENTER,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",,25,NA,Designated,Non-Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Espanola Pathways Shelter,"628 N Riverside Dr, Suite A",Espanola,NM,87532-2620,Santa Fe,Non-Rural,,,,,
,La Famila Medical Center Dental Clinic,6401 S Richards Ave,Santa Fe,NM,87508-4887,Santa Fe,Non-Rural,,,,,
,LA FAMILIA - SOUTHSIDE CLINIC,2145 Caja del Oro Grant Rd,Santa Fe,NM,87507-3279,Santa Fe,Non-Rural,,,,,
,LA FAMILIA MEDICAL CENTER,1035 Alto St,Santa Fe,NM,87501-2406,Santa Fe,Non-Rural,,,,,
,Life Link Homeless Resource,2325 Cerrillos Rd,Santa Fe,NM,87505-3263,Santa Fe,Non-Rural,,,,,
,Pete's Place Homeless Resource,2801 Cerrillos Rd,Santa Fe,NM,87507-2311,Santa Fe,Non-Rural,,,,,
,Santa Fe Suites Outreach Service Site,3007 S Saint Francis Dr,Santa Fe,NM,87505-7069,Santa Fe,Non-Rural,,,,,
Primary Care,13599935CB,AMADOR HEALTH CENTER INC,Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",,21,20,Designated,Non-Rural,01/07/2016,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Amador Health Center,999 W Amador Ave,Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,,
,Amador Recovery Project,"999 W Amador Ave, #D",Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,,
Mental Health,735999355F,AMADOR HEALTH CENTER INC,Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",,18,NA,Designated,Non-Rural,01/07/2016,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Amador Health Center,999 W Amador Ave,Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,,
,Amador Recovery Project,"999 W Amador Ave, #D",Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,,
Dental Health,635999355N,AMADOR HEALTH CENTER INC,Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",,25,NA,Designated,Non-Rural,01/07/2016,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Amador Health Center,999 W Amador Ave,Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,,
,Amador Recovery Project,"999 W Amador Ave, #D",Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,,
Primary Care,1359993567,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,23,18,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Abiquiu Elementary School Based Clinic,US Highway 84,Abiquiu,NM,87510,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE,28 State Road 571,El Rito,NM,87530,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE,26 NM-571,El Rito,NM,87530,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE @ OJO CAL,US Highway 285,Ojo Caliente,NM,87549,Taos,Rural,,,,,
,Las Clinicas del Norte Pojoaque Middle School,1797B Nm 502,Santa Fe,NM,87506-8904,Santa Fe,Non-Rural,,,,,
,LAS CLINICAS DEL NORTE SCH CLN,US Highway 285,Ojo Caliente,NM,87549,Taos,Rural,,,,,
,"Las Clinicas del Norte, Inc. @ Abiquiu",21124 US Highway 84,Abiquiu,NM,87510-5503,Rio Arriba,Rural,,,,,
,"Las Clinicas Dl Norte, Inc Pojoaque Valley School Based Health Clinic",1574 State Road 502,Santa Fe,NM,87506-2697,Santa Fe,Non-Rural,,,,,
,LCDN MOBILE HEALTH VAN,PO BOX 237,El Rito,NM,87530-0237,Rio Arriba,Rural,,,,,
Mental Health,7359993530,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,22,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Abiquiu Elementary School Based Clinic,US Highway 84,Abiquiu,NM,87510,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE,28 State Road 571,El Rito,NM,87530,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE,26 NM-571,El Rito,NM,87530,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE @ OJO CAL,US Highway 285,Ojo Caliente,NM,87549,Taos,Rural,,,,,
,Las Clinicas del Norte Pojoaque Middle School,1797B Nm 502,Santa Fe,NM,87506-8904,Santa Fe,Non-Rural,,,,,
,LAS CLINICAS DEL NORTE SCH CLN,US Highway 285,Ojo Caliente,NM,87549,Taos,Rural,,,,,
,"Las Clinicas del Norte, Inc. @ Abiquiu",21124 US Highway 84,Abiquiu,NM,87510-5503,Rio Arriba,Rural,,,,,
,"Las Clinicas Dl Norte, Inc Pojoaque Valley School Based Health Clinic",1574 State Road 502,Santa Fe,NM,87506-2697,Santa Fe,Non-Rural,,,,,
,LCDN MOBILE HEALTH VAN,PO BOX 237,El Rito,NM,87530-0237,Rio Arriba,Rural,,,,,
Dental Health,6359993538,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,25,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Abiquiu Elementary School Based Clinic,US Highway 84,Abiquiu,NM,87510,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE,28 State Road 571,El Rito,NM,87530,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE,26 NM-571,El Rito,NM,87530,Rio Arriba,Rural,,,,,
,LAS CLINICAS DEL NORTE @ OJO CAL,US Highway 285,Ojo Caliente,NM,87549,Taos,Rural,,,,,
,Las Clinicas del Norte Pojoaque Middle School,1797B Nm 502,Santa Fe,NM,87506-8904,Santa Fe,Non-Rural,,,,,
,LAS CLINICAS DEL NORTE SCH CLN,US Highway 285,Ojo Caliente,NM,87549,Taos,Rural,,,,,
,"Las Clinicas del Norte, Inc. @ Abiquiu",21124 US Highway 84,Abiquiu,NM,87510-5503,Rio Arriba,Rural,,,,,
,"Las Clinicas Dl Norte, Inc Pojoaque Valley School Based Health Clinic",1574 State Road 502,Santa Fe,NM,87506-2697,Santa Fe,Non-Rural,,,,,
